paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,21,0,19,19,1.0000,0.9048,0.9500,39264,2189,0.12052,0.00634,10.43,0.0,bd526972a038
3432d049,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,21,0,19,19,1.0000,0.9048,0.9500,40008,2973,0.13305,0.00700,13.94,0.0,bd526972a038
bd86866b,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,3,0,3,3,1.0000,1.0000,1.0000,42103,225,0.09994,0.03331,4.52,0.0,bd526972a038
bd86866b,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,6,1,3,3,1.0000,0.5000,0.6667,42847,848,0.11025,0.03675,5.39,0.0,bd526972a038
bd9811a5,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,23,4,8,8,1.0000,0.3478,0.5161,33066,1350,0.09468,0.01184,6.44,0.0,bd526972a038
bd9811a5,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,16,4,8,8,1.0000,0.5000,0.6667,33810,2618,0.11389,0.01424,11.28,0.0,bd526972a038
c6319397,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,6,3,3,4,0.7500,0.5000,0.6000,38836,513,0.09640,0.03213,3.22,0.0,bd526972a038
c6319397,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,3,4,4,1.0000,0.3333,0.5000,39580,2174,0.12104,0.03026,9.81,0.0,bd526972a038
c9a68107,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,6,0,4,7,0.5714,0.6667,0.6154,35867,345,0.08726,0.02181,2.54,0.0,bd526972a038
c9a68107,docling,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,9,0,4,7,0.5714,0.4444,0.5000,36611,1132,0.09983,0.02496,6.17,0.0,bd526972a038
