paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,20,0,19,19,1.0000,0.9500,0.9744,28509,1712,0.08920,0.00469,8.41,0.0,bd526972a038
3432d049,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,21,0,19,19,1.0000,0.9048,0.9500,29253,2900,0.10730,0.00565,12.75,0.0,bd526972a038
bd86866b,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,2,2,2,3,0.6667,1.0000,0.8000,29407,311,0.07193,0.03596,2.30,0.0,bd526972a038
bd86866b,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,3,3,3,3,1.0000,1.0000,1.0000,30151,630,0.07804,0.02601,7.55,0.0,bd526972a038
bd9811a5,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,14,2,4,8,0.5000,0.2857,0.3636,24682,913,0.06937,0.01734,5.28,0.0,bd526972a038
bd9811a5,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,11,2,4,8,0.5000,0.3636,0.4211,25426,1612,0.08073,0.02018,7.32,0.0,bd526972a038
c6319397,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,12,4,3,4,0.7500,0.2500,0.3750,28507,1008,0.07948,0.02649,6.56,0.0,bd526972a038
c6319397,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,10,3,3,4,0.7500,0.3000,0.4286,29251,1874,0.09314,0.03105,8.81,0.0,bd526972a038
c9a68107,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,12,0,7,7,1.0000,0.5833,0.7368,26042,726,0.06992,0.00999,3.88,0.0,bd526972a038
c9a68107,dots,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,13,0,7,7,1.0000,0.5385,0.7000,26786,1885,0.08762,0.01252,8.94,0.0,bd526972a038
3432d049,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,17,0,16,19,0.8421,0.9412,0.8889,28509,1552,0.02610,0.00163,6.70,0.0,bd526972a038
3432d049,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,16,0,14,19,0.7368,0.8750,0.8000,29253,2228,0.02941,0.00210,10.43,0.0,bd526972a038
bd86866b,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,5,2,3,3,1.0000,0.6000,0.7500,29407,354,0.02176,0.00725,4.13,0.0,bd526972a038
bd86866b,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,7,2,2,3,0.6667,0.2857,0.4000,30151,1028,0.02506,0.01253,4.56,0.0,bd526972a038
bd9811a5,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,2,0,1,8,0.1250,0.5000,0.2000,24682,176,0.01776,0.01776,1.67,0.0,bd526972a038
bd9811a5,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,10,3,4,8,0.5000,0.4000,0.4444,25426,2243,0.02683,0.00671,9.50,0.0,bd526972a038
c6319397,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,13,0,4,4,1.0000,0.3077,0.4706,28507,757,0.02280,0.00570,6.11,0.0,bd526972a038
c6319397,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,9,3,2,4,0.5000,0.2222,0.3077,29251,1519,0.02647,0.01324,8.28,0.0,bd526972a038
c9a68107,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,11,0,4,7,0.5714,0.3636,0.4444,26042,763,0.02113,0.00528,4.06,0.0,bd526972a038
c9a68107,dots,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,10,1,4,7,0.5714,0.4000,0.4706,26786,1489,0.02465,0.00616,7.67,0.0,bd526972a038
3432d049,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,20,0,19,19,1.0000,0.9500,0.9744,31084,8523,0.01919,0.00101,156.67,0.0,bd526972a038
bd86866b,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,2,0,2,3,0.6667,1.0000,0.8000,31697,2574,0.01236,0.00618,49.34,0.0,bd526972a038
bd9811a5,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,4,1,3,8,0.3750,0.7500,0.5000,27016,5170,0.01404,0.00468,95.84,0.0,bd526972a038
bd9811a5,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",strict,4,0,3,8,0.3750,0.7500,0.5000,27018,5113,0.01398,0.00466,94.69,0.0,bd526972a038
c6319397,dots,qwen-plus,qwen/qwen3.7-plus,"Qwen3.7-Plus (open, value)",raw,7,3,3,4,0.7500,0.4286,0.5455,31417,5755,0.01603,0.00534,107.10,0.0,bd526972a038
