paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,21,0,19,19,1.0000,0.9048,0.9500,32558,1857,0.10051,0.00529,9.10,0.0,bd526972a038
3432d049,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,21,0,19,19,1.0000,0.9048,0.9500,33302,2840,0.11579,0.00609,12.49,0.0,bd526972a038
bd86866b,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,2,0,2,3,0.6667,1.0000,0.8000,32778,183,0.07791,0.03896,3.18,0.0,bd526972a038
bd86866b,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,5,0,3,3,1.0000,0.6000,0.7500,33522,713,0.08694,0.02898,4.51,0.0,bd526972a038
bd9811a5,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,5,5,1,8,0.1250,0.2000,0.1538,26443,861,0.07270,0.07270,4.59,0.0,bd526972a038
bd9811a5,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,11,5,6,8,0.7500,0.5455,0.6316,27187,2188,0.09272,0.01545,9.75,0.0,bd526972a038
c6319397,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,9,4,3,4,0.7500,0.3333,0.4615,30993,684,0.08072,0.02691,4.32,0.0,bd526972a038
c6319397,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,15,4,4,4,1.0000,0.2667,0.4211,31737,2717,0.11049,0.02762,11.42,0.0,bd526972a038
c9a68107,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,10,0,7,7,1.0000,0.7000,0.8235,30472,787,0.08095,0.01156,4.28,0.0,bd526972a038
c9a68107,paddle,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,0,7,7,1.0000,0.5833,0.7368,31216,1570,0.09346,0.01335,7.30,0.0,bd526972a038
3432d049,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,21,0,19,19,1.0000,0.9048,0.9500,32558,1879,0.03024,0.00159,8.04,0.0,bd526972a038
3432d049,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,12,0,11,19,0.5789,0.9167,0.7097,33302,1672,0.02990,0.00272,7.56,0.0,bd526972a038
bd86866b,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,6,0,3,3,1.0000,0.5000,0.6667,32778,373,0.02416,0.00805,2.55,0.0,bd526972a038
bd86866b,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,4,1,3,3,1.0000,0.7500,0.8571,33522,629,0.02573,0.00858,11.09,0.0,bd526972a038
bd9811a5,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,21,3,6,8,0.7500,0.2857,0.4138,26443,1709,0.02532,0.00422,7.51,0.0,bd526972a038
bd9811a5,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,8,1,6,8,0.7500,0.7500,0.7500,27187,1217,0.02380,0.00397,6.12,0.0,bd526972a038
c6319397,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,14,0,3,4,0.7500,0.2143,0.3333,30993,967,0.02539,0.00846,5.01,0.0,bd526972a038
c6319397,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,10,3,3,4,0.7500,0.3000,0.4286,31737,1880,0.02968,0.00989,7.97,0.0,bd526972a038
c9a68107,paddle,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,9,2,4,7,0.5714,0.4444,0.5000,30472,679,0.02384,0.00596,4.19,0.0,bd526972a038
