paper_sha8,parser,label,model_id,role,mode,n_valid,n_errors,tp,gt_total,recall,precision,f1,in_tokens,out_tokens,eur_per_paper,eur_per_tp,latency_s,temperature,prompt_hash
3432d049,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,21,0,19,19,1.0000,0.9048,0.9500,30303,2227,0.10043,0.00529,10.14,0.0,bd526972a038
3432d049,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,21,0,19,19,1.0000,0.9048,0.9500,31047,2867,0.11097,0.00584,12.38,0.0,bd526972a038
bd86866b,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,3,0,3,3,1.0000,1.0000,1.0000,32099,297,0.07793,0.02598,2.62,0.0,bd526972a038
bd86866b,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,3,1,3,3,1.0000,1.0000,1.0000,32843,548,0.08310,0.02770,4.96,0.0,bd526972a038
bd9811a5,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,11,4,4,8,0.5000,0.3636,0.4211,25662,858,0.07086,0.01772,4.48,0.0,bd526972a038
bd9811a5,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,11,4,4,8,0.5000,0.3636,0.4211,26406,1842,0.08615,0.02154,8.93,0.0,bd526972a038
c6319397,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,12,5,3,4,0.7500,0.2500,0.3750,29980,1014,0.08295,0.02765,5.20,0.0,bd526972a038
c6319397,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,9,3,3,4,0.7500,0.3333,0.4615,30724,1778,0.09520,0.03173,8.79,0.0,bd526972a038
c9a68107,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),raw,12,0,6,7,0.8571,0.5000,0.6316,28854,883,0.07855,0.01309,4.65,0.0,bd526972a038
c9a68107,mineru,openai-frontier,openai/gpt-5.4,OpenAI frontier (closed),strict,12,0,7,7,1.0000,0.5833,0.7368,29598,1650,0.09085,0.01298,7.82,0.0,bd526972a038
3432d049,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),raw,14,5,13,19,0.6842,0.9286,0.7879,30303,1392,0.02667,0.00205,6.86,0.0,bd526972a038
3432d049,mineru,openai-mini,openai/gpt-5.4-mini,OpenAI small (closed),strict,17,0,14,19,0.7368,0.8235,0.7778,31047,2360,0.03119,0.00223,11.68,0.0,bd526972a038
